Tick Distancia,Distancia real,Centro,Esq A,Esq B,Esq C,Esq D,,Delta adicional distancia mm
1,"2,2","295,0","2,2","7,4","8,0","9,1",,"1,2"
6,"7,2","233,0","24,0","20,3","28,8","27,6",,
11,"12,2","178,5","21,6","31,6","23,2","32,0",,
16,"17,2","135,2","20,5","30,5","25,5","37,0",,
21,"22,2","109,2","24,7","29,3","25,9","32,0",,
26,"27,2","86,5","24,3","27,2","23,7","29,2",,
31,"32,2","69,9","21,3","24,2","24,4","27,5",,
36,"37,2","55,7","21,2","20,4","19,1","24,6",,
41,"42,2","44,0","17,0","19,1","18,1","22,1",,
46,"47,2","36,8","16,1","16,5","13,8","17,2",,
51,"52,2","30,0","14,1","14,6","12,6","15,1",,
56,"57,2","24,5","12,4","12,8","11,5","13,3",,
61,"62,2","20,0","10,8","11,3","10,5","11,7",,
66,"67,2","16,3","9,5","10,0","9,6","10,3",,
71,"72,2","13,3","8,3","8,8","8,8","9,1",,
76,"77,2","11,7","7,5","8,0","8,0","8,2",,
81,"82,2","10,4","6,9","7,2","7,2","7,5",,
86,"87,2","9,2","6,2","6,6","6,6","6,7",,
91,"92,2","8,1","5,7","6,0","6,0","6,1",,
96,"97,2","7,1","5,2","5,4","5,4","5,5",,
101,"102,2","6,3","4,7","4,9","4,9","5,0",,
106,"107,2","5,8","4,4","4,5","4,6","4,6",,
111,"112,2","5,3","4,1","4,2","4,2","4,3",,
116,"117,2","4,9","3,8","3,9","3,9","3,9",,
121,"122,2","4,5","3,5","3,6","3,7","3,6",,
126,"127,2","4,1","3,3","3,3","3,4","3,4",,
131,"132,2","3,8","3,0","3,1","3,2","3,1",,
136,"137,2","3,5","2,8","2,9","2,9","2,9",,
141,"142,2","3,2","2,6","2,6","2,7","2,7",,
146,"147,2","3,0","2,4","2,4","2,5","2,5",,
151,"152,2","2,7","2,3","2,3","2,4","2,3",,
156,"157,2","2,5","2,1","2,1","2,2","2,1",,
161,"162,2","2,3","2,0","2,0","2,1","2,0",,
166,"167,2","2,2","1,9","1,9","2,0","1,9",,
171,"172,2","2,1","1,8","1,7","1,8","1,7",,
176,"177,2","1,9","1,7","1,6","1,7","1,6",,
181,"182,2","1,8","1,6","1,5","1,6","1,5",,
186,"187,2","1,7","1,5","1,4","1,5","1,4",,
191,"192,2","1,6","1,4","1,4","1,5","1,4",,
196,"197,2","1,5","1,4","1,3","1,4","1,3",,
201,"202,2","1,4","1,3","1,2","1,3","1,2",,